,religion,languages
Gibraltar,Christianity,English
Chile,Christianity,Spanish (de facto)
Georgia,Christianity,Georgian
Iraq,Islam,Arabic
Albania,Islam,Albanian
Sri Lanka,Buddhism,"Sinhala, Tamil"
Macedonia,Christianity,Macedonian
Kazakhstan,Islam,"Kazakh, Russian"
Colombia,Christianity,Spanish
Azerbaijan,Islam,Azerbaijani
Kenya,Christianity,English
Monaco,Christianity,French
Bosnia and Herzegovina,Islam,"Bosnian (de facto), Croatian (de facto), Serbian (de facto)"
Morocco,Islam,"Arabic, Tamazight"
Mauritius,Buddhism,English
Belarus,Christianity,"Belarusian, Russian"
Montenegro,Christianity,"Albanian (in Ulcinj), Croatian (in Tivat), Serbian (in Herceg Novi)"
Vietnam,Atheism,Vietnamese
Puerto Rico,Christianity,"Spanish, English"
Trinidad and Tobago,Christianity,English
Abkhazia Georgia,Christianity,"Abkhaz, Russian"
Bangladesh,Islam,Bengali
Ghana,Christianity,English
Armenia,Christianity,Armenian
Panama,Christianity,Spanish
Costa Rica,Christianity,Spanish
Peru,Christianity,"Spanish, Aymara, Quechua"
Macau,Atheism,"Chinese, Portuguese, Spanish"
Moldova,Christianity,Romanian
Bermuda,Christianity,English
Brunei,Islam,Malay
Algeria,Islam,"Arabic, Tamazight"
Uruguay,Christianity,Spanish (de facto)
Venezuela,Christianity,Italian
Tunisia,Islam,"Tunisian, Arabic, French"
United States Minor Outlying Islands,Christianity,English
Libya,Islam,Arabic
Kosovo,Islam,"Albanian, Serbian"
Namibia,Christianity,English
Andorra,Christianity,Catalan
Angola,Christianity,Portuguese
Ecuador,Christianity,"Spanish, Quechua (official language of intercultural relation)"
Barbados,Christianity,English
Tanzania,Christianity,"Swahili, Arabic, English"
Palestinian Territory,Islam,Arabic
Guatemala,Christianity,Spanish
Dominican Republic,Christianity,Spanish
Zimbabwe,Christianity,"Chewa, Chibarwe, English, Kalanga, Khoisan, Nambya, Ndau, Ndebele, Shangani, Shona, Zimbabwean sign languages, Sotho, Tonga, Tswana, Venda, Xhosa"
Sudan,Islam,"Arabic, English"
Maldives,Islam,Dhivehi
Uganda,Christianity,"English, Swahili"
Botswana,Christianity,"English, Tswana"
Anguilla,Christianity,English
Svalbard Jan Mayen,Christianity,Norwegian
Guinea,Islam,French
Northern Mariana Islands,Christianity,"Turkish, English"
Comoros,Islam,"Arabic, Comorian, French"
Tuvalu,Christianity,English (de facto)
Palau,Christianity,"English, Palauan"
Vatican City,Christianity,"Italian, Latin"
Cape Verde,Christianity,"Portuguese, Spanish"
Djibouti,Islam,"Arabic, French"
St Pierre and Miquelon,Christianity,French
Montserrat,Christianity,English
American Samoa,Christianity,"English, Samoan"
Cook Islands,Christianity,English
Equatorial Guinea,Christianity,"French, Portuguese, Spanish"
Niger,Islam,French
Eritrea,Christianity,Tigrinya
Cocos K I,Islam,"Cocos Malay, English"
Kiribati,Christianity,English
South Sudan,Christianity,English
Wallis and Futuna,Christianity,French
Saint Vincent Grenadines,Christianity,English
Saint Barts,Christianity,French
San Marino,Christianity,Italian
French Polynesia,Christianity,French
Somalia,Islam,Arabic
Central Africa Republic,Christianity,"French, Sango"
Bonaire St Eustatius and Saba,Islam,"Dutch, English"
Grenada,Christianity,English
Liberia,Christianity,English
Congo,Christianity,French
Antarctica,Atheism,English
Lesotho,Christianity,"Sotho, English"
Burundi,Christianity,"French, Kirundi, English"
East Timor,Christianity,"Portuguese, Spanish, Tetun"
Saint Martin,Islam,"Dutch, English"
Samoa,Christianity,English
French Guiana,Atheism,French
Turkmenistan,Islam,Turkmen
Gambia,Islam,English
Guyana,Christianity,English
Guadeloupe,Christianity,French
Mali,Islam,French
Martinique,Christianity,French
Bhutan,Buddhism,Dzongkha
Haiti,Christianity,"French, Haitian Creole"
Reunion,Christianity,French
Sierra Leone,Islam,English
Benin,Christianity,French
Falkland Islands Malvinas,Christianity,English
Crimea,Christianity,Russian
Gabon,Christianity,French
Togo,Christianity,French
Mauritania,Islam,Arabic
Saint Lucia,Christianity,English
Afghanistan,Islam,"Pashto, Dari"
Swaziland,Christianity,"English, Swati"
Vanuatu,Christianity,"English, French"
Belize,Christianity,English
Madagascar,Christianity,"French, Malagasy"
Laos,Buddhism,Lao
Cameroon,Christianity,English
Democratic Republic of the Congo,Christianity,French
Saint Kitts and Nevis,Christianity,English
Malawi,Christianity,"English, Chichewa"
New Caledonia,Christianity,French
Suriname,Christianity,Dutch
Dominica,Christianity,English
St Maarten,Christianity,"Dutch, English"
Fiji,Christianity,"English, Fijian, Fiji Hindi"
Rwanda,Christianity,"English, French, Kinyarwanda, Swahili"
Turks Caicos Islands,Christianity,English
Papua New Guinea,Christianity,"English, Hiri Motu, PNG Sign Language, Tok Pisin"
Antigua Barbuda,Christianity,English
Guam,Christianity,"English, Chamorro"
Nicaragua,Christianity,Spanish
Nepal,Buddhism,Nepali
Tajikistan,Islam,Tajik
Faroe Islands,Christianity,"Faroese, English"
British Virgin Islands,Christianity,English
Yemen,Islam,Arabic
U S Virgin Islands,Christianity,English
Bolivia,Christianity,Castilian
Myanmar,Buddhism,Burmese
Ivory Coast,Islam,French
Uzbekistan,Islam,Uzbek
Liechtenstein,Christianity,German
Seychelles,Christianity,"English, French, Seychellois Creole"
Kyrgyzstan,Islam,"Kyrgyz, Russian"
Honduras,Christianity,Spanish
Senegal,Islam,French
El Salvador,Christianity,Spanish
Paraguay,Christianity,"Spanish, Guaraní"
Aruba,Christianity,"Dutch, Papiamento"
Ethiopia,Christianity,"Afar, Amharic, Oromo, Somali, Tigrinya, English"
Bahamas,Christianity,English
Syria,Islam,Arabic
Cambodia,Buddhism,Khmer
Mozambique,Christianity,Portuguese
Zambia,Christianity,English
Mongolia,Buddhism,Mongolian
Cura ao,Christianity,"Dutch, Papiamento, English"
Jamaica,Christianity,English
Botswana,Christianity,"English, Tswana"
Cayman Islands,Christianity,English
